fips23,name23,fips20,name20,hh2019_23,afact
09120,Greater Bridgeport,09001,Fairfield,125678,1
09140,Naugatuck Valley,09001,Fairfield,16577.9999999997,0.0863509459121571
09190,Western Connecticut,09001,Fairfield,237642.99997774,0.950161530214517
09110,Capitol,09003,Hartford,357118.413079848,0.859968870972459
09140,Naugatuck Valley,09003,Hartford,26746.2678000692,0.139315087716002
09160,Northwest Hills,09003,Hartford,4322.99999999885,0.0776610078145866
09140,Naugatuck Valley,09005,Litchfield,23918.6853492042,0.124586868432807
09160,Northwest Hills,09005,Litchfield,51341.9999999997,0.922338992185414
09190,Western Connecticut,09005,Litchfield,12464.9999999982,0.0498384697854835
09130,Lower Connecticut River Valley,09007,Middlesex,77068.9999999946,0.931111137958939
09110,Capitol,09009,New Haven,0.586901950669061,1.41330547348606e-06
09140,Naugatuck Valley,09009,New Haven,124741.046850729,0.649747097939034
09170,South Central Connecticut,09009,New Haven,247216.999999998,1
09130,Lower Connecticut River Valley,09011,New London,5702.00000000034,0.0688888620410613
09150,Northeastern Connecticut,09011,New London,1173.00000000001,0.0281774724350813
09180,Southeastern Connecticut,09011,New London,115837.000000002,0.921330173072031
09110,Capitol,09013,Tolland,58150.0000181852,0.140029715722068
09150,Northeastern Connecticut,09013,Tolland,429.00000000016,0.0103053160056729
09150,Northeastern Connecticut,09015,Windham,40027.0000000001,0.961517211559246
09180,Southeastern Connecticut,09015,Windham,9890.99999999977,0.0786698269279686
