fips23,name23,fips20,name20,pop2019_23,afact
09120,Greater Bridgeport,09001,Fairfield,326295.999999999,1
09140,Naugatuck Valley,09001,Fairfield,41401.9999999993,0.0915359836215962
09190,Western Connecticut,09001,Fairfield,591400.999942725,0.951980902460358
09110,Capitol,09003,Hartford,823111.32391639,0.849418669530452
09140,Naugatuck Valley,09003,Hartford,61135.9815853562,0.135165987369872
09160,Northwest Hills,09003,Hartford,11493.9999999968,0.101853821069023
09140,Naugatuck Valley,09005,Litchfield,54543.8059206299,0.120591298135607
09160,Northwest Hills,09005,Litchfield,101354,0.898146178930977
09190,Western Connecticut,09005,Litchfield,29830.9999999965,0.0480190975396421
09130,Lower Connecticut River Valley,09007,Middlesex,164982.999999987,0.942851591297432
09110,Capitol,09009,New Haven,1.67602845605329,1.72959576653884e-06
09140,Naugatuck Valley,09009,New Haven,295221.21249402,0.652706730872925
09170,South Central Connecticut,09009,New Haven,566802.999999996,1
09130,Lower Connecticut River Valley,09011,New London,10000.0000000007,0.0571484087025676
09150,Northeastern Connecticut,09011,New London,2587.00000000002,0.0269960032975404
09180,Southeastern Connecticut,09011,New London,255120.000000004,0.914326673237172
09110,Capitol,09013,Tolland,145916.000055113,0.150579600873781
09150,Northeastern Connecticut,09013,Tolland,991.000000000343,0.0103413371735105
09150,Northeastern Connecticut,09015,Windham,92251.0000000005,0.962662659528949
09180,Southeastern Connecticut,09015,Windham,23904.9999999984,0.0856733267628285
